author,pronoun,verb
Smith,I,am doomed
Smith,I,delight
Smith,I,watch
Smith,I,mark
Smith,I,gaze
Smith,I,think
Smith,I,may reach
Smith,I,wove
Smith,I,woke
Smith,I,lure
Smith,I,deplore
Smith,I,will bless
Smith,I,thought
Smith,I,will not complain
Smith,I,take
Smith,I,listen
Smith,I,stand
Smith,I,was deceived
Smith,I,lay
Smith,I,wait
Smith,I,shall behold
Smith,I,carve
Smith,I,love
Smith,I,hope
Smith,I,linger
Smith,I,haunt
Smith,I,seek
Smith,I,drink
Smith,I,hurry
Smith,I,pursue
Smith,I,come
Smith,I,tell
Smith,I,trust
Smith,I,turn
Smith,I,love
Smith,I,mark
Smith,I,am
Smith,I,wish
Smith,I,try
Smith,I,shall be forgiven
Smith,I,go
Smith,I,depart
Smith,I,see
Smith,I,taste
Smith,I,love
Smith,I,could meet
Smith,I,aspire
Smith,I,know
Smith,I,have sought
Smith,I,have charmed
Smith,I,seem
Smith,I,love
Smith,I,find
Smith,I,enjoy
Smith,I,shall find
Smith,I,discern
Smith,I,am doomed
Smith,I,resign
Smith,I,invoke
Smith,I,love
Smith,I,may be subdued
Smith,I,may seek
Smith,I,may suffer
Smith,I,would
Smith,I,could be blest
Smith,I,find
Smith,I,admire
Smith,I,find
Smith,I,seem
Smith,I,see
Smith,I,bear
Smith,I,could taste
Smith,I,would
Smith,I,hailed
Smith,I,bade
Smith,I,bless
Smith,I,envy
Smith,I,make
Smith,I,fear
Smith,I,wander
Smith,I,pursue
Smith,I,stray
Smith,I,fly
Smith,I,drew
Smith,I,wander
Smith,I,find
Smith,I,wish
Smith,I,keep
Smith,I,see
Smith,I,mourn
Smith,I,mark
Smith,I,hear
Smith,I,resign
Smith,I,pore
Smith,I,recline
Smith,I,deplore
Smith,I,shall be laid
Smith,I,joy
Smith,I,hail
Smith,I,explore
Smith,I,repine
Smith,I,would forsake
Smith,I,would find shelter
Smith,I,prefer
Smith,I,mourn
Smith,I,hear
Smith,I,see
Smith,I,watch
Smith,I,mark
Smith,I,loved
Smith,I,would
Smith,I,ask
Smith,I,can compose
Smith,I,can catch
Smith,I,can copy
Smith,I,can bid
Smith,I,have
Smith,I,mark
Smith,I,used to see
Smith,I,would
Smith,I,would behold
Clare,my,hopes
Clare,my,knee
Clare,my,arms
Clare,my,silence
Clare,my,tranquility
Clare,my,heart
Clare,my,view
Clare,my,face
Clare,my,cowslips
Clare,my,eyes
Clare,my,eyes
Clare,my,journey
Clare,my,destiny
Clare,my,spirit
Clare,my,sight
Clare,my,bones
Clare,my,heart
Clare,my,sorrows
Clare,my,fate
Clare,my,heart
Clare,my,end
Clare,my,aim
Clare,my,crutch
Clare,my,bliss
Clare,my,eye
Clare,my,eye
Clare,my,woes
Clare,my,heart
Clare,my,hearts
Clare,my,miserys
Clare,my,hope
Clare,my,woes
Clare,my,strains
Clare,my,eyes
Clare,my,sight
Clare,my,joys
Clare,my,rest
Clare,my,own
Clare,my,hours
Clare,my,view
Clare,my,bosom
Clare,my,friend
Clare,my,breath
Clare,my,view
Clare,my,stool
Clare,my,spot
Clare,my,vale
Clare,my,eye
Clare,my,breast
Clare,my,village
Clare,my,breath
Clare,my,churchyard
Clare,my,kindred
Clare,my,ashes
Clare,my,spirit
Clare,my,fears
Clare,my,end
Clare,my,spirit
Clare,my,eye
Clare,my,bosom
Clare,my,trumpets
Clare,my,eyes
Clare,my,hopes
Clare,my,tread
Clare,my,pressure
Clare,my,search
Clare,my,doom
Clare,my,comforts
Clare,my,toil
Clare,my,crust
Clare,my,sonnet
Clare,my,bosom
Clare,my,pleasures
Clare,my,hopes
Clare,my,head
Clare,my,last
Clare,my,soul
Clare,my,eye
Clare,my,sorrow
Clare,my,sleep
Clare,my,tear
Clare,my,heart
Clare,my,hours
Clare,my,affections
Clare,my,eye
Clare,my,soul
Clare,my,eye
Clare,my,self
Clare,my,bosom
Clare,my,memory
Clare,my,sigh
Clare,my,musings
Clare,my,mind
