Vivian,values,Adeline Mowbray,values,Corpus,values
self-love,0.034636832808008035,self-love,0.11361484567316796,self-love,0.010329789412902843
self-willed,0.023091221872005355,self-command,0.07574323044877863,self-command,0.009571516255879124
self-reproach,0.023091221872005355,self-denial,0.04733951903048665,self-denial,0.009155094997213653
self-esteem,0.023091221872005355,self-condemned,0.02840371141829199,self-reproach,0.007150806279352373
self-possession,0.023091221872005355,self-reproach,0.02840371141829199,self-possession,0.0060560685199104
self-confidence,0.011545610936002678,self-upbraidings,0.02840371141829199,self-complacency,0.0025994641109693
self-complacency,0.011545610936002678,self-reproaches,0.02840371141829199,self-will,0.0025958789056707
self-interest,0.011545610936002678,self-congratulations,0.01893580761219466,self-willed,0.0025867935941388956
self-condemned,0.011545610936002678,self-condemnation,0.01893580761219466,self-approbation,0.0025493430118947785
self-delusion,0.011545610936002678,self-possession,0.00946790380609733,self-denying,0.0025321934468357766
self-command,0.011545610936002678,self-denials,0.00946790380609733,self-respect,0.0024264348571764946
,,self-conceit,0.00946790380609733,self-interest,0.0024257873477357673
,,self-upbraiding,0.00946790380609733,self-conceit,0.002210696894631833
,,self-abasement,0.00946790380609733,self-condemnation,0.0021953124027325314
,,,,self-preservation,0.0019320455573985592
,,,,self-reproaches,0.0018302123893270989
,,,,self-importance,0.001824905094586321
,,,,self-satisfied,0.0017983250699762422
,,,,self-examination,0.0017818770037734074
,,,,self-satisfaction,0.0015203004908251408
