,attachment,connection/connexion
The Coquette,0.0845394291897741,0.6424996618422832
Vivian,0.40409638276009374,0.2540034405920589
Persuasion,0.3000372046133721,0.18002232276802324
Adeline Mowbray,0.2840371141829199,0.15148646089755727
Arthur Mervyn,0.0066876659377110795,0.14712865062964375
Emma,0.28332000679968017,0.1259200030220801
Self-Control,0.12540620706200517,0.11995376327670061
Henry,0.1730909034960516,0.11154747114189993
Camilla,0.06771015539480663,0.10720774604177716
The Wild Irish Girl,0.06755778603484051,0.10616223519760652
Belinda,0.14831742125443578,0.10437151866052889
The Mysteries of Udolpho,0.044485660218527255,0.08212737271112723
Hermsprong,0.009573408899440913,0.0765872711955273
Caleb Williams,0.034208851882513124,0.07525947414152886
The Asylum,0.06239276243955701,0.06239276243955701
Memoirs of Emma Courtney,0.39982161804733274,0.061511018161128105
The Private Memoirs and Confessions of a Justified Sinner,0.035667578171442164,0.059445963619070265
Hobomok,0.054364568798361816,0.054364568798361816
Julia,0.16234864371237231,0.05411621457079077
The Old Manor House,0.1503589820696914,0.05011966068989713
The Banished Man,0.10939533169816101,0.04606119229396253
Frankenstein,0.02747290484759406,0.04120935727139109
Evelina,0.03868172675228222,0.03868172675228222
Waverley,0.11969568568870503,0.03830261942038561
The Monk,0.10136260299164483,0.036200929639873154
The Recess,0.28170997957602645,0.032012497679093914
Zofloya,0.11172389977350519,0.03047015448368323
Charlotte Temple,0.13521553356049543,0.027043106712099085
Anna St. Ives,0.005292069304939617,0.021168277219758468
The Heroine,0.0680510188209675,0.01944314823456214
Marriage,0.1367410869673313,0.018646511859181543
Melmoth the Wanderer,0.03279441183222379,0.016397205916111896
Annals of the Parish,0.0,0.015204269358835962
The Last of the Mohicans,0.0,0.013450532304815964
Glenarvon,0.3142236336286144,0.013371218452281465
Ivanhoe,0.031164783794312426,0.010388261264770809
Walsingham,0.19043305506088712,0.005146839325969922
Maria,0.04447112712071687,0.0
A Simple Story,0.05624455130909193,0.0
The Cottagers of Glenburnie,0.08760019272042399,0.0
