,author,position,count,total,prop,author_label
0,Clare,1-2,18,401,0.04488778054862843,Clare (n=401)
1,Smith,1-2,1,93,0.010752688172043012,Smith (n=93)
2,Wordsworth,1-2,0,513,0.0,Wordsworth (n=513)
3,Clare,3-4,19,401,0.04738154613466334,Clare (n=401)
4,Smith,3-4,1,93,0.010752688172043012,Smith (n=93)
5,Wordsworth,3-4,1,513,0.001949317738791423,Wordsworth (n=513)
6,Clare,5-6,35,401,0.08728179551122195,Clare (n=401)
7,Smith,5-6,1,93,0.010752688172043012,Smith (n=93)
8,Wordsworth,5-6,3,513,0.005847953216374269,Wordsworth (n=513)
9,Clare,7-8,39,401,0.09725685785536159,Clare (n=401)
10,Smith,7-8,2,93,0.021505376344086023,Smith (n=93)
11,Wordsworth,7-8,0,513,0.0,Wordsworth (n=513)
12,Clare,9-10,86,401,0.2144638403990025,Clare (n=401)
13,Smith,9-10,1,93,0.010752688172043012,Smith (n=93)
14,Wordsworth,9-10,26,513,0.050682261208576995,Wordsworth (n=513)
15,Clare,11-12,32,401,0.0798004987531172,Clare (n=401)
16,Smith,11-12,1,93,0.010752688172043012,Smith (n=93)
17,Wordsworth,11-12,32,513,0.06237816764132553,Wordsworth (n=513)
18,Clare,13-14,182,401,0.4538653366583541,Clare (n=401)
19,Smith,13-14,75,93,0.8064516129032258,Smith (n=93)
20,Wordsworth,13-14,108,513,0.21052631578947367,Wordsworth (n=513)
