,author,word,freq
0,Clare,the,108.74704491725768
1,Clare,sonnet,48.463356973995275
2,Clare,to,46.09929078014184
3,Clare,a,41.371158392434985
4,Clare,of,34.2789598108747
5,Clare,in,28.368794326241133
6,Clare,spring,16.548463356973993
7,Clare,summer,16.548463356973993
8,Clare,on,13.002364066193854
9,Clare,autumn,13.002364066193854
10,Smith,the,125.0
11,Smith,to,85.22727272727272
12,Smith,of,53.03030303030303
13,Smith,written,45.45454545454545
14,Smith,a,37.87878787878788
15,Smith,in,35.984848484848484
16,Smith,on,32.196969696969695
17,Smith,from,26.515151515151516
18,Smith,at,17.045454545454543
19,Smith,by,13.257575757575758
20,Wordsworth,the,114.61491813220132
21,Wordsworth,of,83.68708308065494
22,Wordsworth,to,28.502122498483928
23,Wordsworth,in,24.863553668890233
24,Wordsworth,a,23.04426925409339
25,Wordsworth,on,22.437841115827773
26,Wordsworth,at,20.61855670103093
27,Wordsworth,and,13.947847180109157
28,Wordsworth,composed,12.12856276531231
29,Wordsworth,by,11.522134627046695
