,author,pronoun,verb,count,total,frequency,rank
168,Clare,I,love,52,548,94.8905109489051,1.0
66,Clare,I,feel,15,548,27.37226277372263,2.0
1,Clare,I,am,11,548,20.072992700729927,3.0
129,Clare,I,have seen,11,548,20.072992700729927,4.0
246,Clare,I,thought,10,548,18.24817518248175,5.0
72,Clare,I,felt,7,548,12.773722627737227,6.0
221,Clare,I,see,7,548,12.773722627737227,7.0
155,Clare,I,know,6,548,10.948905109489052,8.0
218,Clare,I,saw,6,548,10.948905109489052,9.0
110,Clare,I,have found,5,548,9.124087591240874,10.0
133,Clare,I,have stood,5,548,9.124087591240874,11.0
144,Clare,I,hear,5,548,9.124087591240874,12.0
190,Clare,I,pass,5,548,9.124087591240874,13.0
245,Clare,I,think,5,548,9.124087591240874,14.0
261,Clare,I,view,5,548,9.124087591240874,15.0
268,Clare,I,was,5,548,9.124087591240874,16.0
73,Clare,I,find,4,548,7.299270072992701,17.0
77,Clare,I,found,4,548,7.299270072992701,18.0
154,Clare,I,knew,4,548,7.299270072992701,19.0
167,Clare,I,looked,4,548,7.299270072992701,20.0
231,Clare,I,sit,4,548,7.299270072992701,21.0
242,Clare,I,stretch,4,548,7.299270072992701,22.0
255,Clare,I,turn,4,548,7.299270072992701,23.0
267,Clare,I,wandered,4,548,7.299270072992701,24.0
272,Clare,I,went,4,548,7.299270072992701,25.0
291,Clare,I,wish,4,548,7.299270072992701,26.0
0,Clare,I,address,3,548,5.474452554744526,27.0
10,Clare,I,bend,3,548,5.474452554744526,28.0
48,Clare,I,delight,3,548,5.474452554744526,29.0
86,Clare,I,had,3,548,5.474452554744526,30.0
92,Clare,I,had known,3,548,5.474452554744526,31.0
98,Clare,I,have been,3,548,5.474452554744526,32.0
115,Clare,I,have learned,3,548,5.474452554744526,33.0
125,Clare,I,have read,3,548,5.474452554744526,34.0
136,Clare,I,have thought,3,548,5.474452554744526,35.0
166,Clare,I,look,3,548,5.474452554744526,36.0
169,Clare,I,loved,3,548,5.474452554744526,37.0
179,Clare,I,meet,3,548,5.474452554744526,38.0
210,Clare,I,read,3,548,5.474452554744526,39.0
229,Clare,I,sigh,3,548,5.474452554744526,40.0
237,Clare,I,stood,3,548,5.474452554744526,41.0
256,Clare,I,turned,3,548,5.474452554744526,42.0
295,Clare,I,wondered,3,548,5.474452554744526,43.0
29,Clare,I,chanced,2,548,3.6496350364963503,44.0
35,Clare,I,could get,2,548,3.6496350364963503,45.0
45,Clare,I,dare not,2,548,3.6496350364963503,46.0
49,Clare,I,did dwell,2,548,3.6496350364963503,47.0
64,Clare,I,fancied,2,548,3.6496350364963503,48.0
83,Clare,I,got,2,548,3.6496350364963503,49.0
87,Clare,I,had been,2,548,3.6496350364963503,50.0
95,Clare,I,hail,2,548,3.6496350364963503,51.0
103,Clare,I,have brought,2,548,3.6496350364963503,52.0
114,Clare,I,have known,2,548,3.6496350364963503,53.0
117,Clare,I,have looked,2,548,3.6496350364963503,54.0
137,Clare,I,have tried,2,548,3.6496350364963503,55.0
140,Clare,I,have wandered,2,548,3.6496350364963503,56.0
141,Clare,I,have warmed,2,548,3.6496350364963503,57.0
145,Clare,I,heard,2,548,3.6496350364963503,58.0
158,Clare,I,leave,2,548,3.6496350364963503,59.0
165,Clare,I,longed,2,548,3.6496350364963503,60.0
171,Clare,I,mark,2,548,3.6496350364963503,61.0
180,Clare,I,met,2,548,3.6496350364963503,62.0
191,Clare,I,passed,2,548,3.6496350364963503,63.0
192,Clare,I,pause,2,548,3.6496350364963503,64.0
196,Clare,I,pluck,2,548,3.6496350364963503,65.0
211,Clare,I,recline,2,548,3.6496350364963503,66.0
213,Clare,I,remember,2,548,3.6496350364963503,67.0
216,Clare,I,roam,2,548,3.6496350364963503,68.0
238,Clare,I,stoop,2,548,3.6496350364963503,69.0
244,Clare,I,tell,2,548,3.6496350364963503,70.0
263,Clare,I,walk,2,548,3.6496350364963503,71.0
265,Clare,I,wander,2,548,3.6496350364963503,72.0
270,Clare,I,watched,2,548,3.6496350364963503,73.0
273,Clare,I,went away,2,548,3.6496350364963503,74.0
275,Clare,I,will be,2,548,3.6496350364963503,75.0
292,Clare,I,wished,2,548,3.6496350364963503,76.0
296,Clare,I,would be,2,548,3.6496350364963503,77.0
299,Clare,I,would not,2,548,3.6496350364963503,78.0
2,Clare,I,am denied,1,548,1.8248175182481752,79.0
3,Clare,I,am looking,1,548,1.8248175182481752,80.0
4,Clare,I,answer,1,548,1.8248175182481752,81.0
5,Clare,I,arose,1,548,1.8248175182481752,82.0
6,Clare,I,asked,1,548,1.8248175182481752,83.0
7,Clare,I,be,1,548,1.8248175182481752,84.0
8,Clare,I,be depressed,1,548,1.8248175182481752,85.0
9,Clare,I,be nipped,1,548,1.8248175182481752,86.0
11,Clare,I,boast,1,548,1.8248175182481752,87.0
12,Clare,I,bound,1,548,1.8248175182481752,88.0
13,Clare,I,call,1,548,1.8248175182481752,89.0
14,Clare,I,can bear,1,548,1.8248175182481752,90.0
15,Clare,I,can descry,1,548,1.8248175182481752,91.0
16,Clare,I,can heed,1,548,1.8248175182481752,92.0
17,Clare,I,can lie,1,548,1.8248175182481752,93.0
18,Clare,I,can possess,1,548,1.8248175182481752,94.0
19,Clare,I,can see,1,548,1.8248175182481752,95.0
20,Clare,I,can track,1,548,1.8248175182481752,96.0
21,Clare,I,can't be,1,548,1.8248175182481752,97.0
22,Clare,I,can't describe,1,548,1.8248175182481752,98.0
23,Clare,I,cannot borrow,1,548,1.8248175182481752,99.0
24,Clare,I,cannot help,1,548,1.8248175182481752,100.0
25,Clare,I,cannot know,1,548,1.8248175182481752,101.0
26,Clare,I,cannot see,1,548,1.8248175182481752,102.0
27,Clare,I,cannot use,1,548,1.8248175182481752,103.0
28,Clare,I,care not,1,548,1.8248175182481752,104.0
30,Clare,I,chased,1,548,1.8248175182481752,105.0
31,Clare,I,climb,1,548,1.8248175182481752,106.0
32,Clare,I,complain,1,548,1.8248175182481752,107.0
33,Clare,I,could act,1,548,1.8248175182481752,108.0
34,Clare,I,could be,1,548,1.8248175182481752,109.0
36,Clare,I,could have wasted,1,548,1.8248175182481752,110.0
37,Clare,I,could look,1,548,1.8248175182481752,111.0
38,Clare,I,could not bear,1,548,1.8248175182481752,112.0
39,Clare,I,could not try,1,548,1.8248175182481752,113.0
40,Clare,I,could not wake,1,548,1.8248175182481752,114.0
41,Clare,I,could repeat,1,548,1.8248175182481752,115.0
42,Clare,I,could sing,1,548,1.8248175182481752,116.0
43,Clare,I,could wish,1,548,1.8248175182481752,117.0
44,Clare,I,cut,1,548,1.8248175182481752,118.0
46,Clare,I,decline,1,548,1.8248175182481752,119.0
47,Clare,I,dedicate,1,548,1.8248175182481752,120.0
50,Clare,I,did presage,1,548,1.8248175182481752,121.0
51,Clare,I,did prove,1,548,1.8248175182481752,122.0
52,Clare,I,did watch,1,548,1.8248175182481752,123.0
53,Clare,I,do delight,1,548,1.8248175182481752,124.0
54,Clare,I,do long,1,548,1.8248175182481752,125.0
55,Clare,I,do love,1,548,1.8248175182481752,126.0
56,Clare,I,drank,1,548,1.8248175182481752,127.0
57,Clare,I,dreaded,1,548,1.8248175182481752,128.0
58,Clare,I,drew,1,548,1.8248175182481752,129.0
59,Clare,I,dropped,1,548,1.8248175182481752,130.0
60,Clare,I,employ,1,548,1.8248175182481752,131.0
61,Clare,I,envied,1,548,1.8248175182481752,132.0
62,Clare,I,envy,1,548,1.8248175182481752,133.0
63,Clare,I,esteem,1,548,1.8248175182481752,134.0
65,Clare,I,feared,1,548,1.8248175182481752,135.0
67,Clare,I,feign had looked,1,548,1.8248175182481752,136.0
68,Clare,I,feign had slept,1,548,1.8248175182481752,137.0
69,Clare,I,feign would have,1,548,1.8248175182481752,138.0
70,Clare,I,feign would tempt,1,548,1.8248175182481752,139.0
71,Clare,I,feign would wind,1,548,1.8248175182481752,140.0
74,Clare,I,fled,1,548,1.8248175182481752,141.0
75,Clare,I,fling,1,548,1.8248175182481752,142.0
76,Clare,I,forget,1,548,1.8248175182481752,143.0
