,Corpus,Year,Play,Size,Density,Clustering Coefficient,Average Path Length,Classes,Modularity
0,Contingent Self Corpus,1812,The Dream,20.0,0.31315789473684214,0.6868814518814518,1.8216374269005848,4.0,0.3420662382600098
1,Contingent Self Corpus,1812,Orra,17.0,0.5220588235294118,0.664771503006797,1.5625,3.0,0.26805197381471924
2,Contingent Self Corpus,1853,The Bushrangers,27.0,0.18803418803418806,0.7157215212770768,2.6723076923076925,5.0,0.6557621671258034
3,Contingent Self Corpus,1823,Vespers of Palermo,18.0,0.30718954248366015,0.4773288439955107,2.0441176470588234,4.0,0.42123132639203287
4,Contingent Self Corpus,1813,Remorse,15.0,0.2571428571428572,0.4612698412698413,1.8846153846153846,5.0,0.43518518518518523
5,Contingent Self Corpus,1674,Iphigénie,11.0,0.42727272727272725,0.6028138528138528,1.76,3.0,0.29832503395201454
6,Contingent Self Corpus,1606,Macbeth,42.0,0.10975609756097561,0.4858365708365709,2.474703310430981,6.0,0.4484756865709245
0,French Drama Corpus,-1739,231,11.255411255411255,0.49498703385955023,0.6932706846057591,1.5841537454781605,,
1,French Drama Corpus,1740-1769,36,9.222222222222221,0.5736518882352216,0.7098114872891659,1.5074062511562512,,
2,French Drama Corpus,1770-1799,28,10.821428571428571,0.5230366855366856,0.6954822129001331,1.4985404963669147,,
3,French Drama Corpus,1800-1829,3,10.666666666666666,0.5206349206349207,0.811743318409985,1.529100529100529,,
4,French Drama Corpus,1830-,23,8.91304347826087,0.5613765461591548,0.754563043926398,1.4472520233389798,,
5,German Drama Corpus,-1739,7,35.714285714285715,0.28948329427321023,0.7458652455780124,1.9534469335026627,,
6,German Drama Corpus,1740-1769,12,7.583333333333333,0.6627104377104377,0.7609220177970178,1.372811447811448,,
7,German Drama Corpus,1770-1799,17,21.88235294117647,0.40696989852453297,0.7655141795141441,1.7415115005067394,,
8,German Drama Corpus,1800-1829,34,29.147058823529413,0.47459089568525376,0.8302532512797548,1.627247853901494,,
9,German Drama Corpus,1830-,63,47.25396825396825,0.4931872137516357,0.8693841618911582,1.59459511228366,,
10,Russian Drama Corpus,1740-1769,11,9.545454545454545,0.5296854660491024,0.7410654316823148,1.5252217479490207,,
11,Russian Drama Corpus,1770-1799,7,8.714285714285714,0.6561533704390846,0.7725131650456325,1.3896103896103895,,
12,Russian Drama Corpus,1800-1829,4,12.5,0.45858585858585854,0.6906385281385281,1.5893217893217892,,
13,Russian Drama Corpus,1830-,7,52.42857142857143,0.34992512640272455,0.8241544143472942,1.8012170959099758,,
