biography,model,mean,sd,range
galt.xml,afinn,0.082,0.478,1.955
galt.xml,bing,0.021,0.337,1.808
galt.xml,syuzhet,0.082,0.299,1.748
galt.xml,vader,0.119,0.485,1.949
gaskell.txt,afinn,0.082,0.453,1.965
gaskell.txt,bing,0.014,0.309,1.833
gaskell.txt,syuzhet,0.072,0.267,1.807
gaskell.txt,vader,0.121,0.456,1.961
lockhart.xml,afinn,0.195,0.478,1.964
lockhart.xml,bing,0.092,0.344,1.902
lockhart.xml,syuzhet,0.168,0.309,1.831
lockhart.xml,vader,0.247,0.48,1.964
medwin.xml,afinn,0.08,0.498,1.968
medwin.xml,bing,0.011,0.36,1.904
medwin.xml,syuzhet,0.066,0.317,1.914
medwin.xml,vader,0.117,0.505,1.984
moore.xml,afinn,0.141,0.496,1.969
moore.xml,bing,0.049,0.359,1.87
moore.xml,syuzhet,0.13,0.321,1.811
moore.xml,vader,0.197,0.503,1.97
southey.txt,afinn,0.036,0.486,1.936
southey.txt,bing,0.012,0.314,1.74
southey.txt,syuzhet,0.041,0.286,1.712
southey.txt,vader,0.07,0.502,1.963
